C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,name,type
2,2,2,2,2,2,9,17,24,38,high_value_stacker_1,high_value_stacker
2,2,2,2,2,2,23,39,21,5,high_value_stacker_2,high_value_stacker
2,2,2,2,2,2,5,12,52,19,high_value_stacker_3,high_value_stacker
2,2,2,2,2,2,7,7,59,15,high_value_stacker_4,high_value_stacker
2,2,2,2,2,2,5,62,15,6,high_value_stacker_5,high_value_stacker
2,2,2,2,2,2,17,17,40,14,high_value_stacker_6,high_value_stacker
2,2,2,2,2,2,17,27,18,26,high_value_stacker_7,high_value_stacker
2,2,2,2,2,2,4,3,47,34,high_value_stacker_8,high_value_stacker
2,2,2,2,2,2,37,6,27,18,high_value_stacker_9,high_value_stacker
2,2,2,2,2,2,34,10,3,41,high_value_stacker_10,high_value_stacker
2,2,2,2,2,2,14,61,8,5,high_value_stacker_11,high_value_stacker
2,2,2,2,2,2,21,25,34,8,high_value_stacker_12,high_value_stacker
2,2,2,2,2,2,21,39,2,26,high_value_stacker_13,high_value_stacker
2,2,2,2,2,2,28,29,7,24,high_value_stacker_14,high_value_stacker
2,2,2,2,2,2,4,46,32,6,high_value_stacker_15,high_value_stacker
2,2,2,2,2,2,14,26,20,28,high_value_stacker_16,high_value_stacker
2,2,2,2,2,2,6,9,20,53,high_value_stacker_17,high_value_stacker
2,2,2,2,2,2,5,56,5,22,high_value_stacker_18,high_value_stacker
2,2,2,2,2,2,22,4,28,34,high_value_stacker_19,high_value_stacker
2,2,2,2,2,2,21,8,31,28,high_value_stacker_20,high_value_stacker
2,2,2,2,2,2,56,8,15,9,high_value_stacker_21,high_value_stacker
2,2,2,2,2,2,5,39,38,6,high_value_stacker_22,high_value_stacker
2,2,2,2,2,2,15,29,39,5,high_value_stacker_23,high_value_stacker
2,2,2,2,2,2,25,17,20,26,high_value_stacker_24,high_value_stacker
2,2,2,2,2,2,46,11,11,20,high_value_stacker_25,high_value_stacker
2,2,2,2,2,2,29,20,28,11,high_value_stacker_26,high_value_stacker
2,2,2,2,2,2,12,29,18,29,high_value_stacker_27,high_value_stacker
2,2,2,2,2,2,23,24,8,33,high_value_stacker_28,high_value_stacker
2,2,2,2,2,2,13,28,22,25,high_value_stacker_29,high_value_stacker
2,2,2,2,2,2,12,2,65,9,high_value_stacker_30,high_value_stacker
2,2,2,2,2,2,22,4,55,7,high_value_stacker_31,high_value_stacker
2,2,2,2,2,2,5,14,9,60,high_value_stacker_32,high_value_stacker
2,2,2,2,2,2,39,7,19,23,high_value_stacker_33,high_value_stacker
2,2,2,2,2,2,50,2,30,6,high_value_stacker_34,high_value_stacker
2,2,2,2,2,2,10,9,14,55,high_value_stacker_35,high_value_stacker
2,2,2,2,2,2,55,10,15,8,high_value_stacker_36,high_value_stacker
2,2,2,2,2,2,14,58,5,11,high_value_stacker_37,high_value_stacker
2,2,2,2,2,2,3,22,10,53,high_value_stacker_38,high_value_stacker
2,2,2,2,2,2,30,39,12,7,high_value_stacker_39,high_value_stacker
2,2,2,2,2,2,5,6,44,33,high_value_stacker_40,high_value_stacker
2,2,2,2,2,2,50,15,8,15,high_value_stacker_41,high_value_stacker
2,2,2,2,2,2,6,53,6,23,high_value_stacker_42,high_value_stacker
2,2,2,2,2,2,16,55,6,11,high_value_stacker_43,high_value_stacker
2,2,2,2,2,2,12,25,41,10,high_value_stacker_44,high_value_stacker
2,2,2,2,2,2,22,3,57,6,high_value_stacker_45,high_value_stacker
2,2,2,2,2,2,27,18,6,37,high_value_stacker_46,high_value_stacker
2,2,2,2,2,2,6,21,36,25,high_value_stacker_47,high_value_stacker
2,2,2,2,2,2,12,27,4,45,high_value_stacker_48,high_value_stacker
2,2,2,2,2,2,5,57,13,13,high_value_stacker_49,high_value_stacker
2,2,2,2,2,2,37,10,9,32,high_value_stacker_50,high_value_stacker
2,2,2,2,2,2,26,11,20,31,high_value_stacker_51,high_value_stacker
2,2,2,2,2,2,42,8,9,29,high_value_stacker_52,high_value_stacker
2,2,2,2,2,2,11,4,51,22,high_value_stacker_53,high_value_stacker
2,2,2,2,2,2,11,7,6,64,high_value_stacker_54,high_value_stacker
2,2,2,2,2,2,9,11,2,66,high_value_stacker_55,high_value_stacker
2,2,2,2,2,2,3,50,2,33,high_value_stacker_56,high_value_stacker
2,2,2,2,2,2,3,23,48,14,high_value_stacker_57,high_value_stacker
2,2,2,2,2,2,30,8,38,12,high_value_stacker_58,high_value_stacker
2,2,2,2,2,2,26,29,16,17,high_value_stacker_59,high_value_stacker
2,2,2,2,2,2,8,19,50,11,high_value_stacker_60,high_value_stacker
2,2,2,2,2,2,11,14,36,27,high_value_stacker_61,high_value_stacker
2,2,2,2,2,2,26,7,15,40,high_value_stacker_62,high_value_stacker
2,2,2,2,2,2,3,21,9,55,high_value_stacker_63,high_value_stacker
2,2,2,2,2,2,68,4,7,9,high_value_stacker_64,high_value_stacker
2,2,2,2,2,2,33,9,37,9,high_value_stacker_65,high_value_stacker
2,2,2,2,2,2,25,37,19,7,high_value_stacker_66,high_value_stacker
2,2,2,2,2,2,5,53,23,7,high_value_stacker_67,high_value_stacker
2,2,2,2,2,2,24,11,31,22,high_value_stacker_68,high_value_stacker
2,2,2,2,2,2,31,9,18,30,high_value_stacker_69,high_value_stacker
2,2,2,2,2,2,11,37,31,9,high_value_stacker_70,high_value_stacker
2,2,2,2,2,2,7,5,22,54,high_value_stacker_71,high_value_stacker
2,2,2,2,2,2,19,35,10,24,high_value_stacker_72,high_value_stacker
2,2,2,2,2,2,21,14,23,30,high_value_stacker_73,high_value_stacker
2,2,2,2,2,2,16,44,12,16,high_value_stacker_74,high_value_stacker
2,2,2,2,2,2,7,11,19,51,high_value_stacker_75,high_value_stacker
2,2,2,2,2,2,66,2,13,7,high_value_stacker_76,high_value_stacker
2,2,2,2,2,2,13,45,13,17,high_value_stacker_77,high_value_stacker
2,2,2,2,2,2,6,28,25,29,high_value_stacker_78,high_value_stacker
2,2,2,2,2,2,26,53,6,3,high_value_stacker_79,high_value_stacker
2,2,2,2,2,2,10,21,5,52,high_value_stacker_80,high_value_stacker
2,2,2,2,2,2,27,31,15,15,high_value_stacker_81,high_value_stacker
2,2,2,2,2,2,13,49,9,17,high_value_stacker_82,high_value_stacker
2,2,2,2,2,2,43,16,20,9,high_value_stacker_83,high_value_stacker
2,2,2,2,2,2,27,7,33,21,high_value_stacker_84,high_value_stacker
2,2,2,2,2,2,12,12,26,38,high_value_stacker_85,high_value_stacker
2,2,2,2,2,2,19,3,41,25,high_value_stacker_86,high_value_stacker
2,2,2,2,2,2,25,16,37,10,high_value_stacker_87,high_value_stacker
2,2,2,2,2,2,62,9,5,12,high_value_stacker_88,high_value_stacker
2,2,2,2,2,2,10,22,40,16,high_value_stacker_89,high_value_stacker
2,2,2,2,2,2,47,9,19,13,high_value_stacker_90,high_value_stacker
2,2,2,2,2,2,17,41,4,26,high_value_stacker_91,high_value_stacker
2,2,2,2,2,2,30,35,10,13,high_value_stacker_92,high_value_stacker
2,2,2,2,2,2,8,21,5,54,high_value_stacker_93,high_value_stacker
2,2,2,2,2,2,12,64,5,7,high_value_stacker_94,high_value_stacker
2,2,2,2,2,2,22,34,28,4,high_value_stacker_95,high_value_stacker
2,2,2,2,2,2,16,28,32,12,high_value_stacker_96,high_value_stacker
2,2,2,2,2,2,8,32,41,7,high_value_stacker_97,high_value_stacker
2,2,2,2,2,2,29,6,44,9,high_value_stacker_98,high_value_stacker
2,2,2,2,2,2,57,12,2,17,high_value_stacker_99,high_value_stacker
2,2,2,2,2,2,32,30,3,23,high_value_stacker_100,high_value_stacker
2,2,2,2,2,2,2,28,39,19,high_value_stacker_101,high_value_stacker
2,2,2,2,2,2,65,2,15,6,high_value_stacker_102,high_value_stacker
2,2,2,2,2,2,25,8,7,48,high_value_stacker_103,high_value_stacker
2,2,2,2,2,2,28,11,39,10,high_value_stacker_104,high_value_stacker
2,2,2,2,2,2,65,12,6,5,high_value_stacker_105,high_value_stacker
2,2,2,2,2,2,7,41,33,7,high_value_stacker_106,high_value_stacker
2,2,2,2,2,2,7,16,11,54,high_value_stacker_107,high_value_stacker
2,2,2,2,2,2,15,5,37,31,high_value_stacker_108,high_value_stacker
2,2,2,2,2,2,39,11,30,8,high_value_stacker_109,high_value_stacker
2,2,2,2,2,2,14,34,14,26,high_value_stacker_110,high_value_stacker
2,2,2,2,2,2,23,23,2,40,high_value_stacker_111,high_value_stacker
2,2,2,2,2,2,19,6,31,32,high_value_stacker_112,high_value_stacker
